127.0.0.1 - - [16/Jan/2024:22:58:48 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [16/Jan/2024:22:58:49 +0700] "GET /manage_employees/ HTTP/1.1" 200 735
0:0:0:0:0:0:0:1 - - [16/Jan/2024:22:58:49 +0700] "GET /manage_employees/zkau/web/42133cbe/js/zkbind.wpd HTTP/1.1" 200 1736
0:0:0:0:0:0:0:1 - - [16/Jan/2024:22:58:49 +0700] "GET /manage_employees/zkau/web/42133cbe/js/zul.lang.wpd HTTP/1.1" 200 2118
0:0:0:0:0:0:0:1 - - [16/Jan/2024:22:58:49 +0700] "GET /manage_employees/zkau/web/42133cbe/js/zk.wpd HTTP/1.1" 200 198842
0:0:0:0:0:0:0:1 - - [16/Jan/2024:22:58:49 +0700] "GET /manage_employees/zkau/web/42133cbe/zul/css/zk.wcs HTTP/1.1" 200 25387
0:0:0:0:0:0:0:1 - - [16/Jan/2024:22:58:50 +0700] "GET /manage_employees/zkau/web/_zv2021081016/js/zul.box.wpd HTTP/1.1" 200 9808
0:0:0:0:0:0:0:1 - - [16/Jan/2024:22:58:50 +0700] "GET /manage_employees/zkau/web/42133cbe/zul/img/misc/progress-72.gif HTTP/1.1" 200 42104
0:0:0:0:0:0:0:1 - - [16/Jan/2024:22:58:50 +0700] "GET /manage_employees/zkau/web/_zv2021081016/js/zul.wnd.wpd HTTP/1.1" 200 12232
0:0:0:0:0:0:0:1 - - [16/Jan/2024:22:58:51 +0700] "POST /manage_employees/zkau HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [16/Jan/2024:22:58:52 +0700] "POST /manage_employees/zkau HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [16/Jan/2024:22:58:52 +0700] "POST /manage_employees/zkau HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [16/Jan/2024:22:58:53 +0700] "POST /manage_employees/zkau HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [16/Jan/2024:22:58:53 +0700] "POST /manage_employees/zkau HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [16/Jan/2024:22:58:53 +0700] "POST /manage_employees/zkau HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [16/Jan/2024:22:58:54 +0700] "POST /manage_employees/zkau HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [16/Jan/2024:23:00:49 +0700] "POST /manage_employees/zkau HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [16/Jan/2024:23:00:50 +0700] "POST /manage_employees/zkau HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [16/Jan/2024:23:00:50 +0700] "POST /manage_employees/zkau HTTP/1.1" 200 58
0:0:0:0:0:0:0:1 - - [16/Jan/2024:23:00:50 +0700] "POST /manage_employees/zkau HTTP/1.1" 200 58
0:0:0:0:0:0:0:1 - - [16/Jan/2024:23:00:50 +0700] "POST /manage_employees/zkau HTTP/1.1" 200 58
0:0:0:0:0:0:0:1 - - [16/Jan/2024:23:00:50 +0700] "POST /manage_employees/zkau HTTP/1.1" 200 58
0:0:0:0:0:0:0:1 - - [16/Jan/2024:23:00:50 +0700] "POST /manage_employees/zkau HTTP/1.1" 200 58
0:0:0:0:0:0:0:1 - - [16/Jan/2024:23:00:51 +0700] "POST /manage_employees/zkau HTTP/1.1" 200 58
0:0:0:0:0:0:0:1 - - [16/Jan/2024:23:00:51 +0700] "POST /manage_employees/zkau HTTP/1.1" 200 58
